Section,Question No.,Time Complexity,Space Complexity,Premium,Tags,Notes
Array,2245,O(m * n),O(m * n),,Prefix Sum,
Array,2256,O(n),O(1),,Prefix Sum,
Array,2270,O(n),O(1),,Prefix Sum,
Array,2271,O(nlogn),O(1),,"Sliding Window, Prefix Sum, Binary Search",
Array,2274,O(nlogn),O(1),,Sort,
Array,2293,O(n),O(1),,Simulation,
Array,2319,O(n^2),O(1),,Array,
Array,2326,O(m * n),O(1),,"Linked List, Array",
Array,2373,O(n^2),O(1),,Array,
Array,2382,O(n),O(n),,"Prefix Sum, Sorted List, BST, Union Find",
Array,2391,O(n * l),O(1),,"Prefix Sum, Simulation",
Array,2406,O(nlogn),O(n),,"Sort, Line Sweep",
Array,2407,O(nlogn),O(n),,"Segment Tree, Coordinate Compression",variant of [Longest Increasing Subsequence](https://leetcode.com/problems/longest-increasing-subsequence/)
Array,2428,O(m * n),O(1),,Brute Force,
Array,2432,O(l),O(1),,Array,
Array,2433,O(n),O(1),,Array,
Array,2438,O(logn + qlogr),O(logn),,Prefix Sum,
Array,2446,O(1),O(1),,Array,
Array,2460,O(n),O(1),,"Inplace, Array",
Array,2482,O(m * n),O(m + n),,Array,
Array,2500,O(m * nlogn),O(1),,Array,
Array,2515,O(n),O(1),,Array,
Array,2535,O(nlogr),O(1),,Array,
Array,2536,O(q + n^2),O(1),,"Line Sweep, Difference Matrix, Difference Array",
Array,2553,O(n * logr),O(1),,Array,
Array,2559,O(n + q),O(n),,Prefix Sum,
Array,2569,O(nlogn + m + qlogn),O(n),,Segment Tree,
Array,2574,O(n),O(1),,Prefix Sum,
Array,2580,O(nlogn),O(1),,"Sort, Array",
Array,2639,O(m * n),O(1),,Array,
Array,2640,O(n),O(1),,Prefix Sum,
Array,2643,O(m * n),O(1),,Array,
Array,2644,O(n * d),O(1),,Brute force,
Array,2655,O(nlogn),O(n),"🔒, variant of [Merge Intervals](https://leetcode.com/problems/merge-intervals/)","Sort, Line Sweep",Merge Intervals
Array,2660,O(n),O(1),,Array,
Array,2672,O(n + q),O(n),,Array,
Array,2683,O(n),O(1),,Array,
Array,2711,O(m * n),"O(min(m, n))",,Prefix Sum,
Array,2717,O(n),O(1),,Array,
Array,2733,O(n),O(1),,Array,
Array,2760,O(n),O(1),,Array,
Array,2765,O(n),O(1),,Array,
Array,2782,O(n^2),O(1),🔒,Brute Force,
Array,2798,O(n),O(1),,Array,
String,2042,O(n),O(1),,,
String,2047,O(n),O(1),,,
String,2048,O(1),O(1),,"Permutations, Precompute, Binary Search",
String,2081,O(10^6),O(1),,"String, Palindrome, Brute Force",
String,2103,O(n),O(1),,,
String,2108,O(n),O(1),,,
String,2109,O(n),O(1),,Inplace,
String,2114,O(n),O(1),,,
String,2116,O(n),O(1),,,
String,2124,O(n),O(1),,,
String,2129,O(n),O(1),,,
String,2131,O(n),O(n),,,
String,2135,O(n),O(n),,Bitmasks,
String,2138,O(n),O(1),,,
String,2156,O(n),O(1),,"`Rabin-Karp Algorithm`, Rolling Hash",
String,2157,O(26 * n),O(26 * n),,"Bitmasks, Union Find",
String,2168,O(n^2),O(n^2),🔒,"`Rabin-Karp Algorithm`, Rolling Hash",
String,2185,O(n * p),O(1),,,
String,2186,O(n),O(1),,,variant of [Minimum Number of Steps to Make Two Strings Anagram](https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram/)
String,2211,O(n),O(1),,"Counting, Simulation",
String,2213,O(nlogn),O(n),,Segment Tree,
String,2223,O(n),O(n),,`Z-Function`,
String,2232,O(n^2),O(1),,Brute Force,
String,2243,O(n),O(n),,Simulation,
String,2255,O(n * l),O(1),,String,
String,2264,O(n),O(1),,String,
String,2269,O(logn),O(logn),,Sliding Window,
String,2272,O(a^2 * n),O(a),,`Kadane's Algorithm`,
String,2273,O(n * l),O(1),,"Freq Table, Sort",
String,2278,O(n),O(1),,String,
String,2288,O(n),O(1),,String,
String,2299,O(n),O(1),,String,
String,2301,O(n * k),O(m),,Brute Force,
String,2315,O(n),O(1),,String,
String,2381,O(n),O(n),,Line Sweep,
String,2390,O(n),O(n),,"String, Stack",
String,2414,O(n),O(1),,String,
String,2416,O(n * l),O(t),,Trie,
String,2490,O(n),O(1),,String,
String,2496,O(n * l),O(1),,String,
String,2575,O(n),O(1),,Prefix Sum,
String,2586,O(n),O(1),,String,
String,2678,O(n),O(1),,String,
String,2710,O(n),O(1),,String,
String,2729,O(logn),O(1),,"String, Bitmasks",
String,2788,O(n * l),O(l),,String,
String,2800,O(l),O(l),,"String, Brute Force, Longest Prefix Suffix, `KMP Algorithm`",
String,2810,O(n),O(n),,"String, Deque",
String,2828,O(n),O(1),,String,
Linked List,2058,O(n),O(1),,,
Linked List,2074,O(n),O(1),,,
Linked List,2095,O(n),O(1),,Two Pointers,
Linked List,2130,O(n),O(1),,Two Pointers,
Linked List,2181,O(n),O(1),,Two Pointers,
Linked List,2487,O(n),O(n),,Mono Stack,
Linked List,2674,O(n),O(1),🔒,"Two Pointers, Slow and Fast Pointers",
Linked List,2807,O(n),O(1),,Linked List,
Linked List,2816,O(n),O(1),,Linked List,
Stack,2104,O(n),O(n),,Mono Stack,
Stack,2197,O(nlogm),O(1),,"Stack, Math",
Stack,2281,O(n),O(n),,"Mono Stack, Prefix Sum",variant of [Largest Rectangle in Histogram](https://leetcode.com/problems/largest-rectangle-in-histogram/)
Stack,2282,O(m * n),O(m + n),"🔒, variant of [Number of Visible People in a Queue](https://leetcode.com/problems/number-of-visible-people-in-a-queue/)",Mono Stack,Number of Visible People in a Queue
Stack,2334,O(n),O(n),,Mono Stack,variant of [Maximum Subarray Min-Product](https://leetcode.com/problems/maximum-subarray-min-product/)
Stack,2355,O(n),O(n),🔒,"Mono Stack, Math",
Stack,2454,O(n),O(n),,Mono Stack,
Stack,2696,O(n),O(n),,Stack,
Stack,2735,O(n),O(n),,"Mono Stack, Difference Array, Prefix Sum, Binary Search, Mono Deque, Brute Force",
Stack,2736,O(nlogn + mlogm + mlogn),O(n + m),,"Sort, Mono Stack, Binary Search",
Stack,2764,O(n),O(n),🔒,Stack,
Stack,2832,O(n),O(n),🔒,Mono Stack,
Queue,2398,O(n),O(n),,"Mono Deque, Sliding Window, Two Pointers",
Binary Heap,2054,O(nlogn),O(n),,"Line Sweep, Heap",
Binary Heap,2163,O(nlogn),O(n),,"Heap, Prefix Sum",
Binary Heap,2208,O(nlogn),O(n),,Heap,
Binary Heap,2386,O(nlogn + klogk),O(n + k),,"BFS, Heap",
Binary Heap,2402,O(mlogm + n + mlogn),O(n),,Heap,
Binary Heap,2462,O(c + klogc),O(c),,"Heap, Two Pointers",
Binary Heap,2519,O(nlogk),O(n),🔒,"Heap, Ordered Set, Sorted List",
Binary Heap,2530,O(n + klogn),O(1),,"Heap, Simulation",
Binary Heap,2558,O(n + klogn),O(1),,"Heap, Simulation",
Binary Heap,2818,O(sqrt(r) + nlogr + klogn),O(sqrt(r) + n),,"Number Theory, `Linear Sieve of Eratosthenes`, Mono Stack, Greedy, Sort, Heap",
Tree,2003,O(n),O(n),,"DFS, Stack",
Tree,2096,O(n),O(h),,"DFS, Stack",
Tree,2179,O(nlogn),O(n),,"BIT, Fenwick Tree",variant of [Create Sorted Array through Instructions](https://leetcode.com/problems/create-sorted-array-through-instructions/)
Tree,2196,O(n),O(n),,,
Tree,2236,O(1),O(1),,Tree,
Tree,2277,O(n + q),O(n),🔒,"Tree, BFS, Binary Lifting, `Tarjan's Offline LCA Algorithm`",
Tree,2421,O(nlogn),O(n),,"Sort, Union Find",
Tree,2509,O(q * n),O(1),,"Tree, LCA",
Hash Table,2006,O(n),O(n),,,variant of [Two Sum](https://leetcode.com/problems/two-sum/)
Hash Table,2023,O(n * l),O(n),,,variant of [Two Sum](https://leetcode.com/problems/two-sum/)
Hash Table,2025,O(n),O(n),,Prefix Sum,
Hash Table,2032,O(n),"O(min(n, r))",,Counting,
Hash Table,2053,O(n),O(n),,,
Hash Table,2068,O(n),O(1),,,
Hash Table,2085,O(m + n),O(m + n),,,
Hash Table,2120,O(m),O(m),,,
Hash Table,2150,O(n),O(n),,,
Hash Table,2154,O(n),O(n),,,
Hash Table,2170,O(n),O(n),,Freq Table,
Hash Table,2190,O(n),O(n),,Freq Table,
Hash Table,2201,O(a + d),O(d),,Hash Table,
Hash Table,2206,O(n),O(n),,Hash Table,
Hash Table,2215,O(n),O(n),,Hash Table,
Hash Table,2225,O(nlogn),O(n),,"Hash Table, Sort",
Hash Table,2229,O(n),O(n),🔒,"Hash Table, Sort",
Hash Table,2260,O(n),O(n),,Hash Table,
Hash Table,2261,O(n^2),O(t),,"Trie, `Rabin-Karp Algorithm`",
Hash Table,2283,O(n),O(1),,Freq Table,
Hash Table,2284,O(n * l),O(n),,Freq Table,
Hash Table,2287,O(n + m),O(1),,Freq Table,
Hash Table,2295,O(n + m),O(n),,Hash Table,
Hash Table,2306,O(26 * n * l),O(n * l),,"Hash Table, Math",
Hash Table,2309,O(n),O(1),,"Freq Table, Hash Table",
Hash Table,2325,O(n + m),O(1),,"String, Hash Table",
Hash Table,2341,O(n),O(r),,Freq Table,
Hash Table,2342,O(nlogr),O(n),,"Hash Table, Greedy",
Hash Table,2347,O(1),O(1),,Freq Table,
Hash Table,2351,O(n),O(1),,"String, Hash Table",
Hash Table,2352,O(n^2),O(n^2),,Hash Table,
Hash Table,2354,O(n),O(n),,"Bit Manipulation, Sort, Two Pointers, Freq Table, Combinatorics",
Hash Table,2357,O(n),O(n),,Hash Table,
Hash Table,2363,O((m + n) * log(m + n)),O(m + n),,"Freq Table, Sort",
Hash Table,2364,O(n),O(n),,Hash Table,variant of [Count Nice Pairs in an Array](https://leetcode.com/problems/count-nice-pairs-in-an-array/)
Hash Table,2365,O(n),O(n),,Hash Table,
Hash Table,2367,O(n),O(n),,Hash Table,
Hash Table,2374,O(n),O(n),,Hash Table,
Hash Table,2395,O(n),O(n),,Hash Table,
Hash Table,2399,O(n),O(1),,Hash Table,
Hash Table,2404,O(n),O(n),,Freq Table,
Hash Table,2423,O(n),O(1),,"Brute Force, Freq Table",
Hash Table,2441,O(n),O(n),,Hash Table,
Hash Table,2442,O(nlogr),O(n),,Hash Table,
Hash Table,2451,O(m * n),O(1),,Freq Table,
Hash Table,2452,O(25 * l * (n + q)),O(25 * l * n),,"Brute Force, Hash",variant of [MHC2022 - Round 3](https://www.facebook.com/codingcompetitions/hacker-cup/2022/round-3/problems/C)
Hash Table,2453,O(n),O(s),,Freq Table,
Hash Table,2456,O(n),O(n),,Hash Table,
Hash Table,2484,O(100 * n),O(100 * n),,"Freq Table, Prefix Sum, DP",
Hash Table,2488,O(n),O(n),,"Freq Table, Prefix Sum",
Hash Table,2489,O(n),O(n),🔒,"Freq Table, Prefix Sum",
Hash Table,2491,O(n),O(n),,Freq Table,
Hash Table,2501,O(nlogn),O(n),,"Hash Table, DP",
Hash Table,2506,O(n * l),O(n),,"Freq Table, Bitmask",
Hash Table,2531,O(m + n),O(1),,Freq Table,
Hash Table,2564,O(n * logr + q),"O(min(n * logr, r))",,Hash Table,
Hash Table,2588,O(n),O(n),,"Freq Table, Combinatorics",
Hash Table,2592,O(n),O(n),,"Freq Table, Contructive Algorithms, Sort, Greedy, Two Pointers",
Hash Table,2598,O(n),O(k),,Freq Table,
Hash Table,2605,O(m + n),O(m + n),,Hash Table,
Hash Table,2615,O(n),O(n),,"Freq Table, Prefix Sum",
Hash Table,2657,O(n),O(n),,Freq Table,
Hash Table,2661,O(m * n),O(m * n),,Hash Table,
Hash Table,2670,O(n),O(n),,"Hash Table, Prefix Sum",
Hash Table,2716,O(n),O(1),,Hash Table,
Hash Table,2718,O(n + q),O(n),,Hash Table,
Hash Table,2744,O(n),O(1),,Hash Table,
Hash Table,2748,O(nlogr),O(1),,"Number Theory, Freq Table",
Hash Table,2766,O(nlogn),O(n),,"Hash Table, Sort",
Hash Table,2768,O(c),O(c),,Freq Table,
Hash Table,2784,O(n),O(n),,Freq Table,
Hash Table,2808,O(n),O(n),,Hash Table,
Hash Table,2815,O(nlogr),O(1),,Hash Table,
Math,2001,O(n),O(n),,Math,
Math,2005,O(1),O(1),🔒,"Math, `Sprague-Grundy Theorem`, `Colon Principle`",
Math,2028,O(n),O(1),,,
Math,2029,O(n),O(1),,,
Math,2063,O(n),O(1),,Combinatorics,
Math,2073,O(n),O(1),,"Simulation, Math",
Math,2083,O(n),O(1),🔒,Combinatorics,
Math,2091,O(n),O(1),,Math,
Math,2110,O(n),O(1),,"Math, Combinatorics",
Math,2117,O(r - l),O(1),,Math,
Math,2119,O(1),O(1),,Math,
Math,2125,O(m * n),O(1),,Math,
Math,2133,O(n^2),O(n),,Math,
Math,2145,O(n),O(1),,Math,
Math,2148,O(n),O(1),,Math,
Math,2152,O(n * 2^n),O(n^2),🔒,"Math, Hash Table, Bitmasks",
Math,2169,"O(log(min(m, n)))",O(1),,"Math, `Euclidean Algorithm`",
Math,2171,O(nlogn),O(1),,"Math, Sort",
Math,2176,O(nlogk + n * sqrt(k)),O(n + sqrt(k)),,Math,
Math,2177,O(1),O(1),,Math,
Math,2180,O(logn),O(1),,Math,
Math,2183,O(nlogk + k),O(sqrt(k)),,Math,variant of [Count Equal and Divisible Pairs in an Array](https://leetcode.com/problems/count-equal-and-divisible-pairs-in-an-array/)
Math,2198,O(d^3),O(d),🔒,"Math, Combinatorics",
Math,2217,O(n * l),O(1),,Math,
Math,2221,O(n),O(1),,"Simulation, Combinatorics, Number Thoery",
Math,2235,O(1),O(1),,Math,
Math,2240,O(sqrt(t)),O(1),,Math,
Math,2244,O(n),O(n),,"Math, Freq Table",
Math,2249,O(n * r^2),"O(min(n * r^2, maxx * maxy))",,"Math, Hash Table",
Math,2262,O(n),O(26),,Combinatorics,variant of [Count Unique Characters of All Substrings of a Given String](https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string/)
Math,2280,O(nlogn),O(1),,"Sort, Math, GCD",
Math,2310,O(1),O(1),,Math,
Math,2338,O(sqrt(m) + n + m * (logm + sqrt(m)/log(sqrt(m)))),O(sqrt(m) + n + logm),,"DP, `Linear Sieve of Eratosthenes`, Factorization, Combinatorics",variant of [Count Ways to Make Array With Product](https://leetcode.com/problems/count-ways-to-make-array-with-product/)
Math,2344,O(n + m + logr),O(1),,"Math, GCD",
Math,2345,O(nlogn),O(1),🔒,"Math, Sort, Mono Stack",
Math,2376,O(logn),O(logn),,Combinatorics,variant of [Numbers With Repeated Digits](https://leetcode.com/problems/numbers-with-repeated-digits/)
Math,2396,O(1),O(1),,Math,
Math,2400,O(k),O(k),,Combinatorics,
Math,2409,O(1),O(1),,"String, Math, Prefix Sum",
Math,2413,O(1),O(1),,"Math, Bit Manipulation",
Math,2427,"O(log(min(a, b)) + sqrt(gcd))",O(1),,Math,
Math,2437,O(1),O(1),,Combinatorics,
Math,2450,O(logn),O(1),🔒,Combinatorics,
Math,2455,O(n),O(1),,Math,
Math,2468,O(n + rlogr),O(1),,"Brute Force, Math",
Math,2469,O(1),O(1),,Math,
Math,2481,O(1),O(1),,Math,
Math,2485,O(1),O(1),,Math,
Math,2514,O(n),O(n),,"Math, Combinatorics",
Math,2520,O(logn),O(1),,Math,
Math,2521,precompute: O(sqrt(MAXN))<br>runtime: O(m + nlog(logn)),O(sqrt(MAXN)),,"Number Theory, `Linear Sieve of Eratosthenes`",
Math,2523,precompute: O(MAXN * log(MAXN))<br>runtime: O(log(MAXN)),O(MAXN),,"Number Theory, `Linear Sieve of Eratosthenes`, Segment Tree",
Math,2525,O(1),O(1),,Math,
Math,2539,O(26 * n),O(n),🔒,Combinatorics,
Math,2543,"O(log(min(a, b)))",O(1),,Number Theory,
Math,2544,O(logn),O(1),,Math,
Math,2549,O(1),O(1),,Math,
Math,2550,O(logn),O(1),,"Combinatorics, Fast Exponentiation",
Math,2562,O(nlogr),O(1),,Math,
Math,2568,O(logr),O(1),,"Math, Hash Table, Bit Manipulations",
Math,2579,O(1),O(1),,Math,
Math,2582,O(1),O(1),,Math,
Math,2584,O(n * sqrt(r)),O(sqrt(r)),,"Math, Number Theory",
Math,2614,precompute: O(MAXN)<br>runtime: O(n),O(MAXN),,"Number Theory, `Linear Sieve of Eratosthenes`",
Math,2651,O(1),O(1),,Math,
Math,2652,O(1),O(1),,"Math, Principle of Inclusion and Exclusion",
Math,2656,O(n),O(1),,Math,
Math,2731,O(nlogn),O(1),,"Sort, Math",
Math,2739,O(1),O(1),,Math,
Math,2749,O(1),O(1),,"Linear Search, Bit Manipulations, Math",
Math,2750,O(n),O(1),,Combinatorics,
Math,2761,O(n),O(n),,"Number Theory, `Linear Sieve of Eratosthenes`",
Math,2778,O(sqrt(n)),O(1),,Number Theory,
Math,2780,O(n),O(1),,"`Boyer–Moore Majority Vote Algorithm`, Linear Search",
Math,2802,O(logn),O(1),🔒,"Math, Bitmasks",
Math,2806,O(1),O(1),,Math,
Math,2833,O(1),O(1),,Math,
Sort,2015,O(nlogn),O(n),🔒,Line Sweep,
Sort,2021,O(nlogn),O(n),🔒,Line Sweep,
Sort,2070,O(nlogn + qlogn),O(1),,"Sort, Binary Search",
Sort,2089,O(n),O(1),,Counting Sort,
Sort,2158,O(nlogr),O(r),🔒,"Line Sweep, Sorted List, Heap, Segment Tree",
Sort,2164,O(n),O(c),,"Counting Sort, Inplace",
Sort,2191,O(nlogm + nlogn),O(n),,Sort,
Sort,2231,O(logn),O(1),,Counting Sort,
Sort,2233,O(n + k),O(n),,"Heap, Freq Table, Sort, Math",
Sort,2248,O(n * l + r),O(l),,"Hash Table, Counting Sort",
Sort,2251,O(nlogn + mlogn),O(n),,"Line Sweep, Binary Search",
Sort,2343,O(q + n * t),O(t + n + q),,"Sort, Quick Select, Radix Sort",
Sort,2418,O(nlogn),O(n),,Sort,
Sort,2497,O(n),O(n),,"Sort, Quick Select",
Sort,2512,O(pf * l + nf * l + n * l + klogk),O(pf * l + nf * l + n),,"Partial Sort, Quick Select",
Sort,2545,O(mlogm),O(1),,Sort,
Sort,2659,O(nlogn),O(n),,"Sort, BIT, Fenwick Tree",
Sort,2679,O(m * nlogn),O(1),,Sort,
Sort,2740,O(nlogn),O(1),,Sort,
Sort,2785,O(n),O(1),,Counting Sort,
Sort,2792,O(k * h),O(k + h),🔒,Merge Sort,
Two Pointers,2009,O(nlogn),O(1),,"Two Pointers, Sliding Window",
Two Pointers,2024,O(n),O(1),,Sliding Window,variant of [Longest Repeating Character Replacement](https://leetcode.com/problems/longest-repeating-character-replacement/)
Two Pointers,2040,O((m + n) * logr),O(1),,"Binary Search, Two Pointers",
Two Pointers,2046,O(n),O(1),🔒,Linked List,
Two Pointers,2062,O(n),O(1),,Sliding Window,variant of [Count Number of Nice Subarrays](https://leetcode.com/problems/count-number-of-nice-subarrays/)
Two Pointers,2067,O(n),O(1),🔒,Sliding Window,
Two Pointers,2090,O(n),O(1),,Sliding Window,
Two Pointers,2105,O(n),O(1),,Simulation,
Two Pointers,2107,O(n),O(n),🔒,Sliding Window,
Two Pointers,2134,O(n),O(1),,Sliding Window,
Two Pointers,2149,O(n),O(1),,Two Pointers,
Two Pointers,2161,O(n),O(n),,Two Pointers,
Two Pointers,2200,O(n),O(1),,Two Pointers,
Two Pointers,2234,O(nlogn),O(1),,"Sort, Prefix Sum, Greedy, Binary Search, Two Pointers",
Two Pointers,2302,O(n),O(1),,"Two Pointers, Sliding Window",
Two Pointers,2330,O(n),O(1),🔒,"String, Two Pointers",
Two Pointers,2332,O(nlogn + mlogm),O(1),,"String, Two Pointers",
Two Pointers,2337,O(n + m),O(1),,"String, Two Pointers",
Two Pointers,2348,O(n),O(1),,"Two Pointers, Combinatorics",
Two Pointers,2379,O(n),O(1),,Sliding Window,
Two Pointers,2393,O(n),O(1),🔒,Two Pointers,
Two Pointers,2401,O(n),O(1),,"Sliding Window, Two Pointers",
Two Pointers,2444,O(n),O(1),,Two Pointers,variant of [Number of Substrings Containing All Three Characters](https://leetcode.com/problems/number-of-substrings-containing-all-three-characters/)
Two Pointers,2461,O(n),O(k),,Two Pointers,
Two Pointers,2465,O(nlogn),O(n),,"Two Pointers, Hash Table",
Two Pointers,2511,O(n),O(1),,"Array, Two Pointers",
Two Pointers,2516,O(n),O(1),,"Sliding Window, Two Pointers",
Two Pointers,2524,O(n),O(n),🔒,"Sliding Window, Two Pointers, Freq Table, Hash Table",
Two Pointers,2537,O(n),O(n),,"Sliding Window, Two Pointers",
Two Pointers,2540,O(n),O(1),,Two Pointers,
Two Pointers,2555,O(n),O(n),,"Two Pointers, Sliding Window, DP",
Two Pointers,2563,O(nlogn),O(1),,"Sort, Two Pointers",
Two Pointers,2570,O(n),O(1),,Two Pointers,
Two Pointers,2609,O(n),O(1),,"String, Two Pointers",
Two Pointers,2653,O(nlogk),O(k),,"Sorted List, Ordered Set, Two Pointers",
Two Pointers,2730,O(n),O(1),,Two Pointers,
Two Pointers,2743,O(n),O(1),"🔒, variant of [Longest Substring Without Repeating Characters](https://leetcode.com/problems/longest-substring-without-repeating-characters/)","Two Pointers, Sliding Window",Longest Substring Without Repeating Characters
Two Pointers,2747,O(nlogn + mlogm),O(n + m),,"Sort, Two Pointers, Line Sweep",
Two Pointers,2762,O(n),O(1),,"Mono Deque, BST, Ordered Dict, Two Pointers, Sliding Window",
Two Pointers,2763,O(n),O(n),,"Two Pointers, Sliding Window, Hash Table, Combinatorics",
Two Pointers,2779,O(nlogn),O(1),,"Sort, Two Pointers, Sliding Window",
Two Pointers,2781,O((m + n) * l),O(t),,"Two Pointers, Sliding Window, Trie",
Two Pointers,2799,O(n),O(n),,"Freq Table, Two Pointers, Sliding Window",
Two Pointers,2824,O(nlogn),O(1),,"Sort, Two Pointers",
Two Pointers,2831,O(n),O(n),,"Freq Table, Two Pointers, Sliding Window",
Recursion,2613,O(n) on average,O(n),"🔒, variant of [SPOJ - Closest Point Pair](https://www.spoj.com/problems/CLOPPAIR/)","Random Algorithms, Divide and Conquer, Merge Sort, Segment Tree",SPOJ - Closest Point Pair
Binary Search,2064,O(nlogm),O(1),,,variant of [Minimum Limit of Balls in a Bag](https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag/)
Binary Search,2111,O(nlog(n/k)),O(n/k),,,variant of [Longest Increasing Subsequence](https://leetcode.com/problems/longest-increasing-subsequence/)
Binary Search,2137,O(nlogr),O(1),🔒,,
Binary Search,2187,O(nlogr),O(1),,,
Binary Search,2226,O(nlogr),O(1),,Binary Search,
Binary Search,2250,O(nlogn + m * maxy * logn),O(n),,"Bucket Sort, Binary Search",
Binary Search,2300,O(mlogm + nlogm),O(1),,Binary Search,
Binary Search,2333,O(nlogn + nlogr),O(1),,Binary Search,
Binary Search,2387,O(logr * mlogn),O(1),🔒,Binary Search,
Binary Search,2389,O(nlogn + qlogn),O(1),,"Greedy, Sort, Binary Search",
Binary Search,2448,O(nlogn),O(n),,"Math, Binary Search, Prefix Sum",
Binary Search,2476,O(n + qlogn),O(n),,"DFS, Binary Search",
Binary Search,2513,"O(log(min(d1, d2)))",O(1),,"Number Theory, Binary Search",
Binary Search,2517,O(nlogr),O(1),,"Binary Search, Greedy",
Binary Search,2528,O(nlogk),O(n),,"Binary Search, Sliding Window, Greedy",
Binary Search,2529,O(logn),O(1),,Binary Search,
Binary Search,2554,O(b),O(b),,"Math, Binary Search, Prefix Sum, Greedy",
Binary Search,2557,O(b),O(b),🔒,"Math, Binary Search, Prefix Sum",
Binary Search,2560,O(nlogn),O(n),,"Binary Search, Greedy",
Binary Search,2594,O(mx * (logc + log(mn))),O(mx),,"Freq Table, Binary Search, Heap, Simulation",
Binary Search,2602,O(nlogn + qlogn),O(n),,"Sort, Binary Search, Prefix Sum",
Binary Search,2616,O(nlogn + nlogr),O(1),,"Sort, Binary Search, Greedy",
Binary Search,2702,O(nlogr),O(1),🔒,"Binary Search, Greedy",
Binary Search Tree,2426,O(nlogn),O(n),,"Merge Sort, Two Pointers, BIT, Fenwick Tree, Coordinate Compression, Sorted List, Ordered Set, Binary Search",
Binary Search Tree,2689,O(h),O(1),🔒,BST,
Binary Search Tree,2817,O(nlogn),O(n),,"Sorted List, BST, Binary Search",
Breadth-First Search,2039,O(\,E\,,E\,_O(\
Breadth-First Search,2045,O(\,E\,,E\,_O(\
Breadth-First Search,2050,O(\,V\,,)_,E\
Breadth-First Search,2059,O(m * n),O(m),,,
Breadth-First Search,2115,O(\,E\,,E\,_O(\
Breadth-First Search,2146,O(m * n + klogk),O(m * n),,"BFS, Quick Select, Sort",
Breadth-First Search,2258,O(m * n),O(m * n),,BFS,
Breadth-First Search,2290,O(m * n),O(m * n),,"`A* Search Algorithm`, 0-1 BFS, Deque",variant of [Minimum Cost to Make at Least One Valid Path in a Grid](https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid/)
Breadth-First Search,2316,O(n),O(n),,"Flood Fill, BFS, Math",
Breadth-First Search,2368,O(n),O(n),,BFS,
Breadth-First Search,2415,O(n),O(n),,BFS,
Breadth-First Search,2471,O(nlogn),O(w),,"Sort, BFS",
